ID,Course,Semester,Final Grade
322321233,Algorithms,2020A,74
113113121,Linear algebra 2,2022B,68
322312212,Linear algebra 2,2023B,62
331213133,Linear algebra 2,2020A,74
233313311,Linear algebra 1,2020A,53
323313231,Calculus 2,2020A,72
131111133,Linear algebra 2,2023B,100
122312321,Calculus 1,2019A,53
231331313,Intro to Java,2022B,74
223131322,Calculus 2,2022B,66
113221323,Calculus 1,2022B,70
231232221,Calculus 1,2018B,72
312231221,Algorithms,2019A,89
123122231,Calculus 1,2023B,95
211211123,Linear algebra 2,2018B,46
321131113,Calculus 2,2020A,78
332112322,Linear algebra 1,2021B,49
311321322,Calculus 2,2020A,81
231311222,Intro to Java,2021B,100
321211213,Calculus 1,2018B,78
113211233,Algorithms,2018B,53
123222313,Algorithms,2021B,60
212221332,Calculus 2,2018B,53
221122323,Linear algebra 1,2023B,76
321333323,Algorithms,2022B,59
112222121,Algorithms,2020A,95
333311122,Linear algebra 2,2018B,91
222213323,Intro to Java,2018B,94
332231132,Linear algebra 2,2020A,87
122122222,Algorithms,2023B,55
332333331,Calculus 1,2023B,70
231222313,Calculus 2,2023B,90
133312223,Calculus 2,2020A,66
332222121,Intro to Java,2022B,63
332332321,Linear algebra 2,2021B,80
113133213,Linear algebra 1,2022B,83
232321111,Algorithms,2019A,80
333213221,Linear algebra 1,2020A,60
123211333,Linear algebra 2,2019A,88
222322321,Calculus 1,2022B,68
323323132,Linear algebra 2,2023B,55
323222123,Calculus 2,2022B,64
131133133,Intro to Java,2019A,66
212122322,Linear algebra 2,2023B,68
313212231,Calculus 1,2023B,93
233221112,Calculus 1,2022B,43
323322222,Linear algebra 2,2020A,100
332212131,Calculus 2,2019A,20
333312212,Calculus 2,2020A,53
312132211,Intro to Java,2018B,70
113122233,Calculus 2,2021B,51
322312221,Intro to Java,2021B,67
313312233,Linear algebra 2,2023B,66
133332322,Linear algebra 1,2019A,80
132312323,Intro to Java,2020A,77
221313112,Linear algebra 1,2018B,69
212211133,Calculus 2,2022B,63
212231313,Calculus 1,2021B,67
133231131,Calculus 2,2022B,86
212211131,Calculus 2,2019A,68
122232132,Calculus 1,2018B,69
133121131,Calculus 1,2020A,55
312311223,Calculus 2,2020A,67
311132211,Calculus 1,2023B,65
122111312,Linear algebra 1,2021B,63
222132213,Calculus 2,2018B,85
331223113,Linear algebra 2,2020A,54
221323131,Linear algebra 1,2019A,66
223323323,Calculus 2,2023B,92
323331112,Algorithms,2022B,84
112123231,Calculus 1,2018B,89
313211121,Algorithms,2023B,92
231211223,Calculus 2,2021B,67
313131331,Linear algebra 2,2023B,66
211231321,Calculus 1,2023B,55
111211131,Calculus 1,2018B,63
333231233,Algorithms,2021B,58
133333123,Calculus 1,2021B,56
132123321,Linear algebra 2,2023B,66
133323213,Algorithms,2019A,71
121222312,Linear algebra 2,2018B,71
211321333,Linear algebra 2,2023B,37
133211113,Linear algebra 2,2021B,59
331211323,Linear algebra 1,2020A,70
212231233,Linear algebra 1,2018B,68
321223123,Linear algebra 1,2022B,48
231112221,Linear algebra 1,2018B,83
322221223,Calculus 2,2023B,88
233112311,Intro to Java,2021B,62
332123331,Linear algebra 1,2023B,43
333331333,Calculus 2,2023B,45
113111221,Algorithms,2023B,51
122322212,Algorithms,2022B,54
321323322,Intro to Java,2020A,89
221221312,Linear algebra 2,2018B,68
111221113,Calculus 1,2022B,45
122232232,Linear algebra 1,2018B,69
231122312,Linear algebra 2,2023B,80
112233131,Calculus 1,2021B,46
321321111,Calculus 1,2020A,80
121332312,Linear algebra 1,2019A,86
312111123,Calculus 2,2021B,93
212123211,Calculus 2,2018B,55
211331331,Linear algebra 1,2022B,47
133232332,Algorithms,2018B,68
332122112,Intro to Java,2022B,88
322123222,Intro to Java,2019A,69
321121121,Intro to Java,2018B,82
311123321,Algorithms,2018B,78
132313221,Calculus 2,2022B,47
233311323,Calculus 2,2022B,58
112121331,Intro to Java,2021B,65
232121123,Calculus 2,2018B,72
232121313,Intro to Java,2019A,58
231231111,Intro to Java,2020A,66
112221212,Calculus 1,2023B,58
112331123,Intro to Java,2022B,69
333123223,Linear algebra 1,2022B,73
313323112,Calculus 2,2022B,85
313221132,Calculus 1,2018B,61
313332233,Calculus 2,2020A,77
122123222,Calculus 1,2019A,62
121322211,Linear algebra 1,2021B,87
232133111,Calculus 1,2018B,59
323223231,Calculus 1,2023B,63
133312131,Linear algebra 2,2021B,54
221123331,Intro to Java,2018B,92
332231232,Linear algebra 1,2019A,52
333113321,Linear algebra 1,2018B,94
322322223,Algorithms,2020A,61
212231133,Algorithms,2023B,56
221233321,Algorithms,2022B,60
233112123,Linear algebra 1,2021B,52
132213121,Calculus 2,2021B,71
131233231,Calculus 1,2019A,90
333212213,Calculus 2,2018B,80
322231112,Intro to Java,2018B,68
111323133,Calculus 1,2022B,78
322111332,Algorithms,2022B,95
323323233,Calculus 1,2018B,47
312121113,Algorithms,2022B,71
312321323,Linear algebra 1,2020A,74
123231123,Linear algebra 2,2021B,57
332333122,Algorithms,2021B,89
321211133,Linear algebra 2,2022B,71
313212112,Algorithms,2019A,68
233231112,Intro to Java,2023B,60
322323212,Linear algebra 1,2023B,96
232221112,Linear algebra 1,2020A,43
132333322,Linear algebra 2,2019A,60
221112211,Linear algebra 2,2018B,65
312313121,Calculus 1,2018B,82
323213221,Calculus 2,2023B,97
121113112,Calculus 1,2022B,96
131111322,Intro to Java,2018B,44
111132111,Calculus 2,2019A,53
131132322,Linear algebra 1,2018B,71
221113112,Linear algebra 1,2022B,67
121211112,Calculus 1,2021B,71
223233312,Calculus 1,2019A,61
212123313,Calculus 2,2022B,38
112233122,Calculus 2,2021B,79
123212212,Linear algebra 1,2018B,60
223211222,Calculus 1,2023B,67
333122133,Calculus 1,2018B,80
313221333,Algorithms,2018B,93
332221133,Calculus 2,2023B,73
332111111,Calculus 2,2020A,70
222232232,Calculus 1,2019A,82
223332131,Intro to Java,2018B,68
122123111,Linear algebra 2,2022B,58
223223222,Linear algebra 2,2018B,48
322132222,Linear algebra 1,2018B,78
212222112,Linear algebra 2,2022B,78
233213233,Algorithms,2021B,63
221213221,Calculus 1,2022B,62
131312123,Algorithms,2021B,83
312222321,Algorithms,2020A,72
322231132,Linear algebra 2,2019A,77
321313212,Linear algebra 2,2023B,35
322113133,Linear algebra 2,2021B,66
323132322,Linear algebra 1,2018B,81
233222321,Calculus 1,2021B,100
132332112,Algorithms,2021B,99
112331313,Calculus 2,2021B,70
313311222,Calculus 2,2023B,98
323222323,Linear algebra 2,2020A,88
323113111,Linear algebra 2,2023B,66
222112211,Algorithms,2021B,67
111233123,Intro to Java,2018B,74
233232112,Calculus 1,2020A,78
133313213,Calculus 1,2019A,71
313231312,Algorithms,2023B,54
321112331,Calculus 1,2018B,63
233212132,Linear algebra 2,2021B,75
331222123,Calculus 1,2019A,84
323123223,Calculus 1,2023B,51
121123322,Intro to Java,2019A,78
223132111,Algorithms,2021B,40
232332212,Calculus 2,2019A,88
232333223,Linear algebra 1,2019A,72
123231121,Linear algebra 2,2019A,73
313122313,Linear algebra 2,2022B,40
131231323,Calculus 2,2021B,47
111111213,Intro to Java,2019A,37
323322331,Calculus 2,2023B,79
233221322,Calculus 2,2023B,49
222111311,Algorithms,2022B,48
311211133,Calculus 2,2020A,26
131213122,Linear algebra 2,2022B,52
212332311,Linear algebra 2,2018B,86
212313211,Intro to Java,2021B,66
121211133,Intro to Java,2023B,33
221131123,Linear algebra 1,2019A,59
322122123,Linear algebra 2,2018B,71
211221323,Linear algebra 2,2019A,66
213331313,Algorithms,2020A,77
211223313,Calculus 2,2022B,57
322323231,Calculus 2,2023B,56
212231111,Calculus 1,2020A,83
322232131,Algorithms,2020A,72
113323323,Calculus 2,2021B,54
323313123,Linear algebra 2,2018B,96
213313131,Algorithms,2022B,80
321231113,Calculus 1,2022B,68
332323123,Calculus 2,2022B,47
212212231,Algorithms,2021B,69
211233113,Algorithms,2021B,66
331211131,Intro to Java,2023B,68
221331212,Intro to Java,2021B,74
113112233,Algorithms,2023B,64
213221212,Linear algebra 2,2023B,72
212122112,Linear algebra 2,2022B,88
321121313,Calculus 2,2020A,57
332312121,Calculus 2,2023B,59
212133322,Linear algebra 1,2020A,44
112212113,Calculus 1,2019A,75
212131313,Linear algebra 2,2022B,56
231231232,Linear algebra 2,2018B,49
222312322,Linear algebra 1,2019A,62
322121221,Intro to Java,2020A,73
331232131,Calculus 1,2021B,68
333223131,Calculus 2,2018B,78
331132121,Calculus 2,2019A,75
221222233,Linear algebra 1,2018B,75
322311212,Calculus 2,2021B,73
123321331,Calculus 1,2018B,45
311311231,Intro to Java,2019A,81
133111111,Calculus 1,2020A,84
121212312,Linear algebra 1,2019A,81
122331212,Linear algebra 2,2022B,65
111211112,Intro to Java,2019A,82
232223132,Calculus 2,2018B,100
213123212,Intro to Java,2019A,86
211133323,Calculus 2,2021B,70
311231313,Intro to Java,2019A,66
133123133,Algorithms,2021B,95
231132323,Algorithms,2020A,76
113232232,Intro to Java,2020A,76
131233321,Linear algebra 1,2021B,66
332321231,Calculus 2,2021B,60
321231333,Intro to Java,2019A,73
323333332,Calculus 2,2019A,75
113132211,Linear algebra 2,2022B,84
311212213,Calculus 2,2022B,60
233132232,Algorithms,2022B,69
112331311,Linear algebra 1,2019A,55
132331131,Calculus 2,2020A,77
222311122,Algorithms,2021B,83
211113121,Algorithms,2021B,85
323313111,Algorithms,2019A,83
323312211,Linear algebra 1,2021B,43
212212223,Linear algebra 1,2021B,95
233213123,Algorithms,2018B,82
323231211,Algorithms,2020A,80
323313222,Calculus 2,2022B,57
323323211,Calculus 1,2018B,84
132213323,Calculus 1,2022B,88
111323132,Linear algebra 1,2018B,80
123133323,Linear algebra 1,2021B,50
133113332,Calculus 1,2018B,66
322213323,Calculus 2,2020A,67
321321213,Intro to Java,2019A,48
113221232,Calculus 2,2021B,80
132313131,Intro to Java,2022B,83
212331322,Intro to Java,2021B,55
211221211,Linear algebra 1,2020A,57
322122131,Calculus 1,2022B,59
333311113,Calculus 1,2023B,51
111331121,Intro to Java,2020A,68
212132313,Linear algebra 1,2019A,74
223322112,Linear algebra 1,2018B,47
123313231,Calculus 1,2022B,79
122331221,Calculus 2,2018B,80
331331231,Calculus 1,2018B,81
322122113,Intro to Java,2019A,83
232322221,Calculus 2,2022B,96
311231113,Linear algebra 1,2021B,68
221123311,Calculus 1,2023B,51
132332122,Calculus 2,2023B,42
113222111,Calculus 1,2020A,59
313133322,Algorithms,2020A,77
311222122,Calculus 2,2023B,75
111323332,Calculus 1,2021B,88
312311332,Linear algebra 2,2018B,96
121313231,Linear algebra 1,2018B,89
323333311,Calculus 1,2019A,59
221133212,Intro to Java,2023B,47
212322111,Linear algebra 1,2021B,36
322121222,Linear algebra 2,2021B,53
333332132,Intro to Java,2019A,63
112123322,Linear algebra 2,2020A,94
312121312,Calculus 2,2023B,54
111322313,Intro to Java,2020A,58
323213211,Algorithms,2018B,95
133122133,Intro to Java,2023B,80
122232222,Linear algebra 2,2023B,75
121221231,Calculus 2,2018B,43
122132312,Calculus 2,2023B,46
223332333,Linear algebra 2,2019A,51
231332122,Linear algebra 2,2022B,91
133211213,Linear algebra 1,2022B,74
132233323,Calculus 2,2020A,39
331232112,Linear algebra 2,2022B,78
333313332,Linear algebra 1,2018B,63
232133332,Algorithms,2021B,84
232113132,Linear algebra 1,2022B,77
312311131,Algorithms,2019A,78
122232121,Calculus 2,2019A,74
112231211,Linear algebra 2,2018B,84
222123233,Calculus 2,2022B,54
113223213,Calculus 1,2019A,58
222333212,Calculus 2,2023B,100
232321313,Algorithms,2022B,72
231212221,Algorithms,2021B,56
121221233,Algorithms,2019A,69
232121322,Intro to Java,2021B,67
131111232,Intro to Java,2023B,66
113122122,Calculus 2,2021B,74
122231331,Intro to Java,2021B,72
332221333,Intro to Java,2018B,63
233212312,Calculus 2,2018B,70
133331311,Calculus 1,2018B,79
121111323,Linear algebra 1,2023B,61
231223332,Calculus 2,2023B,63
132323323,Intro to Java,2020A,61
321213222,Algorithms,2022B,57
322313221,Linear algebra 2,2018B,70
313133131,Calculus 1,2021B,71
232233113,Linear algebra 2,2019A,75
311223211,Calculus 1,2023B,91
312332133,Linear algebra 2,2020A,62
131212311,Linear algebra 1,2023B,58
112232231,Algorithms,2021B,48
333112223,Linear algebra 1,2019A,69
122222131,Algorithms,2023B,61
221111212,Calculus 2,2021B,69
121221333,Calculus 2,2019A,60
231312313,Calculus 2,2023B,67
231213223,Algorithms,2018B,81
223321112,Algorithms,2022B,87
332233333,Intro to Java,2022B,74
112223121,Linear algebra 1,2021B,60
131323333,Calculus 2,2023B,62
221133332,Algorithms,2020A,64
111321111,Algorithms,2019A,84
313223312,Algorithms,2019A,55
322112222,Intro to Java,2020A,74
112121223,Algorithms,2018B,41
232131211,Intro to Java,2020A,47
331332133,Intro to Java,2019A,63
223232233,Calculus 2,2022B,72
232111321,Calculus 2,2020A,54
211231132,Calculus 1,2021B,53
313322113,Intro to Java,2020A,97
131221313,Intro to Java,2019A,67
213322133,Calculus 1,2022B,68
223312232,Linear algebra 1,2021B,44
323222322,Linear algebra 2,2022B,79
213211322,Linear algebra 2,2022B,35
123131111,Intro to Java,2020A,67
313133211,Calculus 2,2020A,98
312221131,Algorithms,2022B,21
333212112,Linear algebra 1,2021B,62
232212221,Linear algebra 1,2020A,77
232131322,Linear algebra 1,2018B,61
123121121,Algorithms,2023B,54
212331321,Calculus 2,2019A,75
323311131,Intro to Java,2021B,93
312132322,Algorithms,2021B,60
212233221,Linear algebra 2,2021B,73
222213122,Intro to Java,2021B,51
311131212,Linear algebra 2,2018B,43
121233331,Calculus 1,2019A,92
331233122,Linear algebra 2,2020A,59
132321123,Linear algebra 2,2022B,51
132121222,Algorithms,2019A,87
131233221,Linear algebra 2,2020A,68
113213312,Intro to Java,2019A,65
233213312,Linear algebra 1,2023B,52
332313132,Linear algebra 2,2022B,36
312323112,Algorithms,2020A,68
332332232,Algorithms,2020A,74
332113131,Intro to Java,2019A,77
332232132,Linear algebra 1,2018B,63
313321331,Intro to Java,2023B,52
113313212,Intro to Java,2020A,91
123133213,Algorithms,2021B,86
222133131,Calculus 1,2022B,62
121223132,Calculus 2,2019A,73
111123223,Calculus 2,2022B,68
113232121,Calculus 1,2021B,71
113112332,Linear algebra 1,2018B,50
112323221,Algorithms,2018B,85
333312232,Intro to Java,2020A,55
222213133,Calculus 1,2019A,63
321233232,Algorithms,2020A,50
131133121,Linear algebra 2,2019A,44
323311232,Linear algebra 2,2018B,76
213313333,Algorithms,2019A,88
133223131,Calculus 2,2020A,65
111231313,Linear algebra 2,2023B,92
211113133,Intro to Java,2018B,65
221321112,Calculus 1,2021B,48
123311221,Linear algebra 2,2022B,67
122322233,Linear algebra 1,2022B,61
223122211,Linear algebra 2,2018B,63
312132222,Linear algebra 2,2022B,62
232313112,Linear algebra 1,2019A,31
312213221,Calculus 1,2019A,76
322321231,Intro to Java,2021B,92
321133232,Linear algebra 1,2019A,76
221323331,Calculus 1,2019A,62
232113221,Linear algebra 2,2020A,49
311322113,Linear algebra 1,2019A,62
322113132,Calculus 1,2021B,91
313311232,Linear algebra 1,2022B,41
111211133,Calculus 2,2022B,52
332331312,Calculus 2,2020A,100
213212312,Calculus 2,2022B,73
312321232,Calculus 1,2021B,89
312211112,Linear algebra 1,2019A,63
311131323,Calculus 2,2018B,63
231113112,Algorithms,2022B,72
121111122,Algorithms,2021B,77
323331331,Algorithms,2018B,100
211311213,Linear algebra 2,2022B,65
331332132,Linear algebra 2,2021B,59
111111211,Calculus 2,2022B,80
213222233,Calculus 1,2022B,68
322222132,Linear algebra 2,2023B,39
122322323,Intro to Java,2018B,74
232121232,Linear algebra 2,2023B,56
113211232,Linear algebra 2,2018B,79
331312222,Intro to Java,2022B,74
231121223,Calculus 2,2023B,100
232323221,Linear algebra 2,2021B,50
123331122,Calculus 1,2021B,48
111313233,Calculus 1,2020A,57
222333112,Calculus 1,2018B,79
111112221,Intro to Java,2023B,72
313331113,Calculus 2,2021B,62
131332121,Intro to Java,2019A,74
332332122,Calculus 2,2018B,87
311232133,Intro to Java,2019A,66
121212321,Algorithms,2022B,90
113221233,Intro to Java,2022B,88
123221123,Algorithms,2018B,63
122121213,Intro to Java,2019A,68
313322213,Intro to Java,2021B,71
323232323,Algorithms,2021B,70
221211323,Linear algebra 2,2020A,72
311121212,Intro to Java,2023B,73
221213331,Intro to Java,2018B,52
131213213,Intro to Java,2018B,59
121132311,Linear algebra 1,2023B,62
231133132,Linear algebra 2,2019A,53
232313211,Calculus 1,2020A,100
111323311,Algorithms,2021B,70
313311133,Algorithms,2023B,51
321111332,Calculus 2,2022B,71
123233323,Algorithms,2021B,83
111213231,Linear algebra 1,2019A,98
322231113,Linear algebra 1,2023B,88
211131333,Linear algebra 1,2023B,71
123322331,Calculus 1,2021B,96
211311212,Linear algebra 2,2022B,54
332221312,Linear algebra 1,2020A,76
222231112,Linear algebra 1,2019A,75
332111133,Calculus 1,2020A,51
221133321,Linear algebra 2,2019A,73
231122322,Calculus 1,2018B,72
121131221,Calculus 1,2021B,49
312331332,Calculus 2,2018B,55
233122222,Algorithms,2021B,75
322112232,Intro to Java,2022B,43
213123323,Linear algebra 1,2022B,68
111331222,Linear algebra 2,2022B,69
112113312,Algorithms,2020A,73
212322132,Intro to Java,2018B,68
131332211,Linear algebra 1,2022B,66
131122322,Algorithms,2022B,83
222211121,Intro to Java,2022B,83
332331221,Intro to Java,2018B,59
223332332,Linear algebra 2,2022B,86
133312113,Calculus 2,2021B,65
222123312,Intro to Java,2021B,66
322323221,Linear algebra 2,2022B,17
323112122,Calculus 1,2018B,65
333123211,Linear algebra 2,2020A,100
211212212,Linear algebra 1,2022B,66
213221132,Calculus 2,2020A,56
233113122,Calculus 1,2023B,70
212333222,Calculus 1,2021B,74
132332321,Linear algebra 1,2021B,94
223132123,Linear algebra 2,2020A,80
311112233,Calculus 2,2023B,61
331122212,Linear algebra 1,2023B,66
322132223,Calculus 2,2019A,61
332322321,Calculus 1,2023B,94
122331133,Calculus 2,2023B,86
112232212,Linear algebra 2,2020A,57
113112333,Linear algebra 1,2021B,100
322112133,Calculus 1,2018B,69
132231112,Calculus 1,2021B,78
232223111,Calculus 1,2022B,77
321313332,Algorithms,2019A,66
333333332,Linear algebra 2,2020A,63
312211233,Intro to Java,2022B,94
313333121,Algorithms,2021B,68
123313311,Calculus 2,2019A,79
112111213,Linear algebra 2,2021B,69
223311111,Linear algebra 2,2023B,63
333221313,Intro to Java,2023B,70
312331312,Calculus 1,2020A,40
221133312,Linear algebra 1,2020A,86
111132223,Linear algebra 2,2021B,52
111122223,Linear algebra 2,2023B,62
133323113,Calculus 1,2021B,43
233232232,Calculus 2,2020A,100
232322132,Linear algebra 2,2022B,65
121223323,Algorithms,2022B,58
232112313,Intro to Java,2020A,63
132131333,Linear algebra 1,2022B,83
123332211,Calculus 1,2018B,74
332323323,Linear algebra 2,2018B,76
212121111,Algorithms,2018B,83
223223232,Calculus 2,2023B,59
312313132,Calculus 2,2021B,69
133332313,Calculus 2,2020A,82
122222211,Linear algebra 1,2019A,79
221313212,Algorithms,2020A,67
113121332,Calculus 1,2020A,59
332222131,Linear algebra 2,2018B,86
121132122,Algorithms,2022B,85
311131211,Intro to Java,2021B,67
312132111,Intro to Java,2020A,58
121121212,Intro to Java,2022B,66
111111323,Calculus 2,2021B,61
311231123,Algorithms,2020A,76
311232332,Algorithms,2020A,74
132213312,Intro to Java,2018B,41
312131121,Intro to Java,2021B,89
321322312,Linear algebra 2,2018B,53
313231223,Calculus 1,2023B,66
323112323,Calculus 1,2018B,100
131112111,Calculus 2,2020A,70
111111123,Algorithms,2020A,54
323321332,Linear algebra 1,2019A,72
131211212,Algorithms,2021B,62
223232221,Calculus 1,2020A,66
222223233,Intro to Java,2019A,79
221331321,Calculus 1,2022B,77
131321311,Linear algebra 2,2023B,62
232232321,Calculus 1,2023B,60
123133123,Calculus 1,2023B,91
231212223,Calculus 1,2018B,100
322231122,Calculus 2,2021B,84
133211111,Algorithms,2021B,65
332321222,Calculus 1,2019A,74
221123221,Algorithms,2020A,93
123131233,Algorithms,2022B,68
121221221,Calculus 2,2022B,79
123321111,Linear algebra 1,2023B,78
122323333,Intro to Java,2021B,85
322232322,Linear algebra 1,2022B,61
123333123,Linear algebra 1,2021B,81
321223222,Algorithms,2019A,80
221221212,Algorithms,2019A,62
313213331,Algorithms,2023B,59
331313131,Algorithms,2022B,87
313332333,Linear algebra 2,2023B,72
313111123,Algorithms,2023B,44
313223231,Linear algebra 2,2021B,80
212111311,Calculus 2,2023B,60
132221222,Intro to Java,2018B,48
111321332,Linear algebra 1,2023B,88
131222131,Calculus 1,2022B,55
221222121,Intro to Java,2020A,76
211311113,Linear algebra 2,2018B,54
311112213,Calculus 2,2022B,92
233132331,Linear algebra 2,2023B,51
222212123,Intro to Java,2019A,52
121312313,Linear algebra 1,2020A,72
222121132,Algorithms,2021B,62
323122213,Intro to Java,2020A,46
232213332,Algorithms,2022B,43
313222323,Linear algebra 2,2022B,68
223333111,Calculus 1,2022B,91
231223232,Linear algebra 1,2023B,67
211322123,Linear algebra 1,2019A,43
111212312,Calculus 2,2019A,51
112123233,Linear algebra 2,2020A,61
232122231,Calculus 1,2022B,55
133231313,Calculus 1,2023B,36
332123221,Linear algebra 1,2023B,83
131323323,Calculus 2,2021B,88
233133322,Linear algebra 2,2021B,73
322232122,Intro to Java,2021B,79
331111112,Calculus 1,2021B,72
333322223,Calculus 1,2021B,58
221332123,Linear algebra 1,2021B,71
133321133,Intro to Java,2021B,50
321311231,Linear algebra 1,2021B,61
132233123,Algorithms,2019A,95
221112131,Calculus 2,2018B,69
322211233,Calculus 1,2021B,65
133131221,Linear algebra 2,2019A,57
231111232,Linear algebra 1,2020A,51
321323312,Algorithms,2019A,74
311333122,Calculus 2,2021B,71
123121232,Algorithms,2021B,51
231313123,Linear algebra 2,2018B,52
222333132,Intro to Java,2022B,80
332133231,Linear algebra 2,2018B,74
222323333,Calculus 2,2021B,42
131112221,Algorithms,2022B,75
333321323,Calculus 2,2023B,90
232331232,Linear algebra 1,2023B,100
233222213,Calculus 2,2020A,72
112321323,Intro to Java,2019A,55
333132113,Calculus 1,2022B,60
313112223,Algorithms,2019A,54
233323313,Intro to Java,2023B,86
332311113,Algorithms,2022B,78
221121123,Intro to Java,2021B,58
211232122,Algorithms,2018B,87
121132323,Calculus 2,2022B,64
232231322,Linear algebra 2,2021B,78
132213332,Linear algebra 1,2018B,59
332213222,Intro to Java,2022B,44
233131222,Calculus 2,2018B,69
111323212,Linear algebra 2,2019A,83
232132123,Calculus 2,2021B,71
131321211,Calculus 1,2022B,68
323123233,Calculus 1,2019A,72
232132122,Linear algebra 2,2023B,88
132111322,Linear algebra 1,2022B,76
232221221,Linear algebra 2,2018B,26
331211222,Linear algebra 2,2022B,59
312133333,Linear algebra 1,2020A,67
333223121,Algorithms,2018B,73
211331122,Linear algebra 2,2021B,70
311312121,Linear algebra 1,2021B,58
211322332,Calculus 1,2018B,67
111222313,Algorithms,2018B,65
213211312,Intro to Java,2019A,69
321232313,Calculus 1,2023B,45
221321312,Intro to Java,2021B,65
133122321,Intro to Java,2022B,43
232331321,Algorithms,2021B,56
123133231,Calculus 2,2019A,74
321313132,Intro to Java,2023B,65
132331133,Linear algebra 2,2018B,55
321323332,Calculus 1,2023B,72
321112222,Calculus 2,2019A,51
212232222,Calculus 1,2018B,73
321122131,Linear algebra 1,2023B,31
332223232,Calculus 2,2021B,81
121312222,Linear algebra 2,2023B,64
313111212,Intro to Java,2019A,69
223131311,Linear algebra 2,2022B,66
233312333,Linear algebra 1,2023B,86
111331331,Calculus 1,2022B,69
122321213,Intro to Java,2022B,83
322312313,Calculus 2,2018B,62
133111223,Calculus 1,2023B,52
131321212,Calculus 2,2018B,53
122132311,Calculus 1,2023B,57
323112133,Calculus 2,2019A,57
331322122,Intro to Java,2020A,81
331321223,Calculus 2,2023B,83
112131133,Linear algebra 2,2018B,100
112223132,Algorithms,2023B,90
113321222,Algorithms,2018B,70
331223232,Calculus 2,2018B,64
213312113,Calculus 1,2019A,58
213231223,Intro to Java,2019A,42
231112321,Linear algebra 2,2023B,60
313331212,Linear algebra 2,2019A,60
333331212,Calculus 2,2019A,63
233123122,Linear algebra 1,2021B,100
232321221,Intro to Java,2021B,65
133313122,Calculus 2,2019A,60
313133212,Linear algebra 2,2018B,60
322323312,Linear algebra 1,2019A,91
312332112,Linear algebra 1,2020A,49
333212312,Calculus 2,2019A,50
322313331,Linear algebra 1,2019A,93
323122132,Linear algebra 1,2020A,50
131323131,Intro to Java,2019A,80
322332113,Calculus 1,2021B,79
112321113,Calculus 1,2022B,68
221332312,Calculus 1,2022B,63
223321111,Linear algebra 2,2018B,80
312222312,Intro to Java,2023B,81
322112321,Calculus 2,2021B,82
332232233,Calculus 1,2022B,73
123231112,Calculus 2,2022B,82
212122312,Calculus 2,2019A,49
131213113,Algorithms,2022B,67
122112233,Linear algebra 2,2022B,75
